Region,Formation,Member,AgeEnd,AgeEarly,Supporting References,Notes,Other age details or opinions,Correlation,Other opinions on correlations
Cuba,San Antonio,Undifferentiated,11.6,18,Franco et al 1992,"Contains one defined mbr. Synonymous in part with the Cabo Cruz, Cojimar, and Imias. There is also a San Antonio fm in Mexico, but there are no reported fossils there.",Synonymies and correlations suggest a Middle Miocene age.,Correlates with Real Paso fm.,
Cuba,Yumuri,,11.6,13.8,"Iturralde-Vinent 1968, Franco et al 1992, Cooper 1979",Synonymous with Guines (Iturralde-Vinent 1968). Cooper 1979 lists brachs from this fm.,"Middle Miocene (Franco et al 1992). This age agrees well with the Habana-Matanzas Basin section of Guines included in Schweitzer et al 2006, although Pardo 2009 plotted the Guines almost entirely as Upper Miocene in the Habana-Matanzas basin. As a compromise, the unit is placed in the Serravallian (upper Middle Miocene) in this compilation.",,
Cuba,Imías,,12.5,18,Schweitzer et al 2006,Not to be confused with Punta Imías,"Franco et al considered the name invalid and hence renamed a different unit the Punta Imias to avoid confusion. Maurasse 1990 plate 5a plotted the unit across the Mid-Late Miocene boundary, only in SE Cuba (Baracoa Purial), and overlying the Manzanillo unconformably. Schweitzer et al 2006 report invertebrates from the unit, at Baitiquiri, and log the sandy marls from ca 12.5 to 18 Ma in fig 2.",,
Cuba,Caobas,,13.8,21,Franco et al 1992,,"Franco et al give date range of upper Lower to lower Middle Miocene. The specific ages used here for those vague estimates are the same as for the Cojimar fm, based on stratigraphic correlation.",Correlates with Cojimar and San Antonio,
Cuba,Cojimar,,13.8,16,"Pardo 2009, Schweitzer et al 2006, Mederos 1987, Maurasse 1990 plate 5a","Franco et al 1992 considered synonymous with Bejucal, Cangrejeras, and Capellanias, and inferred the environment to be deep infralittoral to upper slope of shelf. Maurasse noted the unit was a white and yellow limestone cropping out only in Western Cuba Bahia Honda. ","Late Aquitanian through the Burdigalian in Iturralde-Vinent 1968. Lower-Middle Miocene according to Mederos 1987. Middle Miocene in Maurasse 1990 plate 5a. Upper Lower to lower Middle Miocene in Franco et al 1992, zones Globorotalia fohsi s.l. and Globigerinoides sicanus-Globigerinatella insueta. Schweitzer et al 2006 plot Cojimar in log section without clear boundaries, but in the region of the lower Middle Miocene and possibly as old as the latest Early Miocene (M4, ca 16.5 Ma). Pardo determines the age as middle Miocene (G fohsi zone) based on dense foram data.","Underlies local Guines, overlies Colon (Maurasse 1990), both at conformable contacts (Franco et al 1992). Iturralde-Vinent 1968 throught that the top contact was an unconformity, however. The Cojimar meets the Guines again laterally. Pardo places the Cojimar conformably above the Jaruco and Husillo, and again as a partial lateral equivalent to the Guines. Pardo considers the Rosario a partial equivalent to the Cojimar.",
Cuba,San Antonio,Baitiquirí,13.8,18,"Redescribed in G. L. Franco (1976) in: Jakus, 1983.",Restricted marine; contains Ostracodes,Franco et al (1992) state an age of upper Lower Miocene to lower Middle Miocene.,"Conformably ('concordantemente') overlies the Maquey and unconformity overlies Saint Louis fm. Underlies Jamaica and Rio Maya, at unconformities.",
Cuba,Rosario,,13.8,16,Franco et al 1992,"Franco et al 1992 modified the name from Rosario to Santa María del Rosario because they considered the Rosario (Hatten and Meyerhoff 1956) an invalid homonym. However, as in other units with names that Franco revised, Pardo retains the original (short) version, e.g. Rosario.","Franco et al (1992) estimate the age as upper Lower to lower Middle Miocene. Pardo (2009) considered the unit middle Miocene, which matches the constraints from correlative ages. That is, the Rosario overlies the Husillo, which has an upper bound of 16 Ma in this compilation.","Pardo described the Rosario as a partial equivalent to the Guines, Cojimar, and Cangrejeras fms. The Rosario is unconformable over the Husillo and older rocks.",
Cuba,Yateras,,13.8,18,"Franco et al 1992, Pardo 2009",,"Early Miocene according to Franco et al (1992). Middle Miocene according to Pardo (2009). Here, the top bound is placed at the Langhian-Serravallian boundary as a compromise between the two schemes. The conformable relationship above the Maquey places a lower bound at 18 Ma in this compilation. ",Conformably overlies the Maquey (Pardo 2009).,
Cuba,Colón ,,16,20,Vinola-Lopez and Rojas-Consuegra 2016; Franco et al 1992; Maurasse 1990 plate 5a,Only occurs in Western Cuba Bahia Honda,"Underlies Cojimar, overlies Tinguaro, both uncomforably (Iturralde-vinent 1968, Maurasse 1990). Upper Oligocene to upper part of Lower Miocene (Fraco et al 1992), an age range cited in Vinola-Lopez and Rojas-Consuegra 2016. However, recent work on the Husillo (a synonym) does not place the lower boundary as old as the Oligo-Miocene boundary, but rather at ca 20 Ma. See discussion of Husillo fm elsewhere in this correlation. The upper boundary may be constrained at the maximum age of the overlying Cojimar.","Equivalent to Husillo fm (Maurasse 1990, Franco et al 1992)",
Cuba,Husillo,,16,20,"Bronniman and Rigassi 1963, Maurasse 1990 plate 5a","This name has been applied to different units that were synonymized: Husillo (Seiglie 1960) is the Jaruco, and Husillo (Bronnimann and rigassi 1963) is the Colon.","Bronnimann and Rigassi 1963 originally stated the age as Lower Miocene; their unit was synonymized with the Colon, which according to this compilation would set the age as Upper Oligocene to upper part of Lower Miocene (Fraco et al 1992, Vinola-Lopez and Rojas-Consuegra 2016). Seiglie 1960's Husillo was synonymized with the Jaruco, for which Franco et al 1992 estimated the same age range. However, Schweitzer et al 2006 considered the Husillo a valid unit and did not extend it as far as the Oligo-Miocene boundary; oldest age was 16-20 Ma in Fig 2, for the Jabana-Matanzas basin. Pardo (2009) uses forams to justify a lower Miocene age and considers the equivalent Jaruco to be a valid unit.",Equivalent to Colon fm (Maurasse 1990). Pardo (2009) describes the relationship as conformable over the Guanajay and Tinguaro fms.,
Cuba,Paso Real,Undifferentiated,16,23,"Pardo 2009; Maurasse 1990 plate 5a; Iturralde-Vinent 1969, 1987","The so-called Paso Real in Costa Rica is Pliocene, but in Cuba is Miocene.","The Lagunitas (ca 17-19 Ma) may partially equate to the Paso Real (Iturralde-Vinent 1969, 1987). In a completely different interpretation, Maurasse 1990 plotted it entirely as late Oligocene, and only in South Central Cuba. Pardo (2009) agreed with Iturralde-Vinent's view, suggesting a lower to middle Miocene age. The unit is a wedge, such that it tapers out over the course of the Middle Miocene.",Pardo plotted the Paso Real below the Guines and above the Guanajay (Oligocene).,
Cuba,Lagunitas,,17.5,18.5,"MacPhee and Iturralde-Vinent 1994, MacPhee et al 2003",,"MacPhee and Iturralde-Vinent 1994 reported a Xenarthra fossil from the fm and gave an age of 17.5-18.5 Ma. They describe microfossil evidence that it cannot extend quite as far back as the Oligo-Miocene boundary, but probably is N6-N7, Burdigalian, ca 16.9-19 Ma.","Correlation with the coastal onlap event of Haq et al 1987 is highly likely' (MacPhee and Iturralde-Vinent 1994), which would make the age 18.5-17.5 Ma. The Lagunitas may partially equate to the Paso Real, Arabos, Rosario, and Magantilla fms (Iturralde-Vinent 1969, 1987).",
Cuba,Maquey,,18,25,"Maurasse 1990 plate 5a, Cobiella 1988, Quintas 1989, Crespo 1996","Includes Cilindro mbr (Late Oligocene to Lower Miocene, although the top bound is very uncertain), Gobernadora, and Vega Grande (latest Oligocene to Lower Miocene). Name from Sierra del Maquey, in reference to the shells used by hermit crabs there (Lewis & Straczek 1955 USGS survey, p. 188).","Oligocene to Early Miocene, authors agree. The Vega Grande mbr is the youngest and so is the most likely mbr to be restricted to the Miocene, but the VG lower boundary could still fall below the Oligo-Mio transition. Pardo plots the lower bound of the Maguey near the Rupelian-Chattian boundary (27.8 Ma).","Iturralde-Vinent 2001 note similarity in lithology and age among Maquey, La Toca (DR) and Thomonde (DR) fms. The Thomonde ranges from Late Miocene to earliest Pliocene in Saint Marc area (Maurrasse 1982).","Cilindro mbr is basal and topped by an unconformity. Gobernadora, the middle unit, grades into overlying Vega Grande mbr."
Curaçao,Lower Terrace,,0.08,0.14,Schubert and Szabo 1978,,"Lower terrace has average Uranium-based age of 129 ka, correlated with terrace I on Curacao and terrace III on Barbados (Schubert and Szabo 1978). Inferring a Sangamonian deposition, this could indicate an age range within 80-140 ka.",,
Curaçao,Seroe Domi,Undifferentiated,0.781,16.2,Fouke et al 1996,,See age details for constituent units.,,
Curaçao,Seroe Domi,Upper,0.781,1.8,Fouke et al 1996,,"Fouke et al 1996 plot subunit 1 in section from the start of the Langhian until ca 13 Ma, when athe area was subaerially exposed. Maurasse 1990 plate 5b considers the unit almost exclusively Piacenzian, which was then defined as 1.6-3.4 Ma.",,
Curaçao,Seroe Domi,Middle,1.8,10,Fouke et al 1996,,"Fouke et al 1996 derived Sr age estimate of 5.0-5.2 from unaltered fossils in subunit 2, and younger dates from altered fossils. Fouke et al 1996 plot subunit 1 in section across the entire Late Miocene and Pliocene. At the time of writing, the Mid-Late Miocene boundary was set at ca 10 Ma and the Mio-Pliocene boundary was set at ca 1.6 Ma.",,
Curaçao,Seroe Domi,Lower,13,16.2,Fouke et al 1996,,"Fouke et al 1996 derived Sr age estimate of 15.6 from unaltered fossils in subunit 1, and younger dates from altered fossils. They also use foram stratigraphy to estimate the age range as 15.2-16.2 for lithofacies 1-3; lithofacies 4 extends into the Serravallian. This is younger than the early estimates of an Eo-Oligocene age based on offshore wells (Curet 1992), but not as young as Maurasse's 1990 plate 5b estimate of Late Miocene (and also including the latest Serravallian).",,
"Deleware, Maryland, New Jersey, Pennsylvania",Pensauken,,2.6,5.3,"Conant 1990, Pazzaglia 1993, Pazzaglia and Gardner 1993",,"Cooke et al 1943 combined part of Cape May and Pensauken, considering both Sangamonian. Richards 1945 strongly disagreed, stating thate Cape May was late Pleistocene but Pensauken was mid-Pleistocene at youngest. The Pennsylvania geological survey map in 1960 classified the Pensauken as Illinoian. Owens and Denny 1979 extended the unit to DE and MD and changed the age estimate from early Pleistocene to Miocene. Conant 1990 considered the Pensauken to be late Miocene in age. Pazzaglia 1993 described the Pensauken lithology in detail and correlated it with the upper Bethany through Beaverdam fms, Pliocene. Pazzaglia and Gardner 1993 petrographically correlated the unit with late Pliocene and early Pleistocene marine deposits.","Underlies Cape May (late Pleistocene) unconformably. Overlies Bridgeton (Miocene), which overlies the Beacon Hill; authors debate whether or not this sequence is graded.",
Dominican Republic,Arroyo Seco,,0.01,1.6,Mann et al 1999,,"Late Pliocene-Pleistocene, but plotted as the very latest Piacenzian plus the Calabrian, Emilian, Sicilian, and Milazzian.",Overlies the Arroyo Blanco.,
Dominican Republic,Arroyo Blanco,,1.6,4,Mann et al 1999,"Not to be confused with Oligocene unit of same name in Cuba. Outcrops at edge of basin, mixed gypsum, shallow-marine siliciclastics and carbonates.","Mostly Lower Pliocene, but surface rocks of the Arroyo Blanco and Arroyo Seco fms are Upper Miocene-Lower Pliocene according to multiple studies, reviewed in Mann et al 1999. Questionably assigned to N17-19, which corresponds to ca 8.3-4.0 Ma; conflictingly, placed in the upper Zanclean through Piacenzian (then an upper bound of 1.65 Ma).",,
Dominican Republic,Las Salinas,,1.8,4,Mann et al 1999,Occurs in Charco Largo-1 well.,Ostracodes in well section indicate mid Pliocene to Holocene. Lower Pliocene,Equivalent to Arroyo Blanco. Overlain by Jimani fm (terrestrial). Overlies the Angostura fm (largely halite).,
Dominican Republic,Quita Coraza,,1.9,4.5,Mann et al 1999,,"Tentatively NN18 (Lower Pliocene), which has a range of ca 1.9-2.5 Ma (Berggren et al 1995). However, Mann et al update previous chornostratigraphic logs to place the unit as entirely Zanclean (then defined as 5.2-3.5 Ma).",Overlies the Trinchera and underlies the Arroyo Blanco in the NE Enriquillo basin surface.,
Dominican Republic,Mao,,3.5,3.9,McNeill et al 2012,,"McNeill et al 2012 combined micropaleo, paleomag, and Sr isotopes to develop a strat framework and constrain fm ages",Overlies the Gurabo fm,
Dominican Republic,Gurabo,,4,5.8,McNeill et al 2012,,"McNeill et al 2012 combined micropaleo, paleomag, and Sr isotopes to develop a strat framework and constrain fm ages.",,
Dominican Republic,Trinchera,,4.5,11.7,Mann et al 1999,,Well data suggest 'Upper Miocene to basal Pliocene' age. latest-Middle Miocene to earliest Pliocene,"In places, comforambly overlain by Arroyo Blanco and Las Salinas.",
Dominican Republic,Villa Trina,,5,11,"Iturralde-Vinent 2001, de Zoeten and Mann 1991",,"Iturralde-Vinent 2001: the Villa Trina uncomformably overlies the La Toca and includes the Late Miocene to Pliocene, in agreement with Maurasse 1990 plate 4 in GSA series. De Zoeten and Mann discuss the Villa Trina as Upper Miocene through Pliocene, perhaps suggesting more Pliocene or sedimentation late into teh Pliocene.",,
Dominican Republic,Cercado,,5.8,6.6,McNeill et al 2012,,"McNeill et al 2012 combined micropaleo, paleomag, and Sr isotopes to develop a strat framework and constrain fm ages; they suggested 6.6-6.0 Ma for the Cercado. Ortega-Ariza et al 2015 dated the Cercado at 6.31-5.88; Maier et al 2007 reported a Sr date of 6.2 Ma at the sample location.",,
Dominican Republic,Baitoa,,11.63,16,"Saunders et al 1986, Cheetham et al 1999",,Deposition ended at the end Serravalian but the lower bound of the unit is an uncomformity representing an unknown period of time (see McNeill et al 2012 correlation chart),Underlies the Cercardo and overlies the Oligo-Miocene Tabera fm,
Dominican Republic,Sombrerito,,11.7,12.8,Mann et al 1999,,"Well age is M11 to M12 or M13a (at or just above the Middle-Upper Miocene boundary), which corresponds to 11.7-12.8 Ma (Berggren et al 1995).",Grades into overlying Trinchera evaporites.,
Dominican Republic,Los Haitises ,,12.58,15.75,"Ortega-Ariza et al 2015, Iturralde-Vinent 2001",,"Iturralde-Vinent 2001 used a variety of paleo evidence to arrive at an estimate of early Middle Miocene, ca 15 Ma, for the Yanigua-Los Haitises tansition. Iturralde-Vinent put the upper bound at ca 5 Ma. Ortega-Ariza et al 2015 did not differentiate Yanigua and Los Haitenses formations; they report Sr ages of 12.58 and 15.75 Ma.",,
Dominican Republic,La Toca,,15,20,"Iturralde-Vinent 2001, de Zoeten and Mann 1991","Also contains amber insects, carbonized plants, and marine vertebrate fossils","De Zoten and Mann 1999 greatly revised earlier stratigraphy for the region and defined the La Toca fm as a 3-part unit on the La Toca block: basal conglomerate, sedimentary couplets (Early Oligocene to early-Middle Miocene based on forams), sandstone cap. The authors suggest that the sedimentary rocks could be as old as Late Eocene, however. Iturralde-Vinent 2001 used a variety of paleo evidence to arrive at an estimate of late Early to early Middle Miocene.",,
Dominican Republic,Yanigua,,15.75,19,"Ortega-Ariza et al 2015, Iturralde-Vinent 2001",Iturralde-Vinent 2001 did not think there were fossils in the basal conglomerates of the Yanigua; the fossiliferous section begins at ca 19 Ma in the log.,"Iturralde-Vinent 2001 used a variety of paleo evidence to arrive at an estimate of late Early to early Middle Miocene, 15-20 Ma. Ortega-Ariza et al 2015 did not differentiate Yanigua and Los Haitenses formations; they report Sr ages of 12.58 and 15.75 Ma.",,
Florida,Lake Flirt Formation,,0,0.1,,,See EES notes on this fm in description of other units.,,
Florida,Qu,Undifferentiated,0,0.135,,,,,
Florida,Anastasia,,0.09,0.132,Osmond et al (1970); Murphy (1973);  Mitterer (1974); McNeil (1985); Portell et al (2003); Banks et al (2007); Burdette et al (2009); Burdette (2010),"Portell (pers comm 2013) indicated the unit is present from St. Augustine to southern Palm Beach County. Scott (2011) does not include the Anastasia Frm in the N Florida stratigraphic column and instead placed the unit in S Florida; however, the unit is present in N Florida sensu Scott (1992).","Kolbe et al (2011) cited an older age for this Frm (0.9-0.1 Ma); publications such as Osmond et al (1970), Murphey (1973), and Mitterer (1974) cited slightly younger top ages (around 90 to 100 Ka) compared to the others of around 115 to 116 Ka (e.g., Banks et al 2007; Finkle et al 2008; Burdette 2010); Petuch and Roberts (2007) indicated an age of 0.1-0.01 Ma.","The Miami Oolite of the Miami Limestone is considered contemporaneous with the Anastasia Frm (Cooke and Mossom 1929); the Anastasia Frm interfingers with the Miami Limestone at the top of the section and probably correlates with the Caloosahatchee and Ft. Thomson Frms (Missimer et al 2000) [however, the Caloosahatchee Frm is too old in this compilation to correlate]; if congruent with OIS 5e, the unit correlates with the Biloxi and Gulfport Frms (ME).","Missimer et al (2000) indicated the unit probably correlates with the Caloosahatchee and Ft. Thomson Frms, but the Caloosahatchee Frm is too old in this report. "
Florida,Key Largo Limestone ,,0.09,0.3,Broecker and Thurber (1965); Osmond et al (1965); Multer et al (2002),The Key Largo Frm is a fossil coral reef that forms the Florida Keys from Soldier Key southwest to the New Found Harbor Channel (DuBar 1991).,"The age may not be as old as 0.3 Ma, as there tends to be a bias towards older dates in U-series dating (Multer et al 2002). Ages found: single data points of 0.139 Ma (Harmon et al 1979), 0.145 Ma (Szabo and Halley 1988), 0.144 Ma +/- 10 Ka (Muhs et al 1992);  0.138-0.125 Ma (Fruijtier et al 2000), but these dates have error bars of probably 5 Ka; a generally accepted age is 0.125 Ma (Shin 2001; Means pers comm 2013), but recent work indicates 0.135 Ma (Henderson and Slowey 2000). Petuch and Roberts (2007) cited an older age (0.6 Ma) for the base; Scott (2011) cited a younger age for the top (0.01 Ma).",The upper part of the Key Largo Limestone is the same age as the Miami Limestone (DuBar 1991); the Ft. Thompson Frm is recognized as a lateral equivalent of the Key Largo Limestone (Cunningham et al 1998).,"Hickey et al (2010) indicated the Key Largo and Miami are equivalent, with the Ft. Thompson Frm below these two units. In this report, the Ft. Thompson is primarily below but also partially correlated. "
Florida,Miami Limestone ,,0.09,0.13,Broecker and Thurber (1965); Osmond et al (1965); Guertin et al (2000); Neal et al (2008); Hickey et al (2010),"The Miami Limestone sits above the Ft. Thompson Frm, previously considered part of the Key Largo Frm (Hickey et al 2010).","Kolbe et al (2011) cited an older age of 0.9-0.1 Ma, while Scott (2011) indicated a younger top age of 0.01 Ma.","DuBar (1991) indicated the Miami Limestone interfingers with the Anastasia Frm in the N, the Key Largo Frm in the S, and the Ft. Thompson Frm in the NW, but according to Neal et al (2008) and Hickey et al (2010), the unit sits above the Ft. Thompson Frm; here the Ft. Thompson is above and partially interfingers/correlative. Hickey et al (2010) indicated the unit is a lateral equivalent to the upper part of the Key Largo Limestone.",
Florida,Fort Thompson,Coffee Mill Hammock ,0.11,0.14,Puri and Vanstrum (1969); Lyons (1991),"Considered a unit of the Ft. Thompson Frm, although others have argued for formational status (e.g., Brooks 1968, 1974; Lyons 1991); the validity of the Ft. Thompson Frm as a lithological unit has been debated by the Florida Geological Survey in their most recent map of Florida (2001). ",Petuch and Roberts (2007) indicated the Coffee Mill Hammock Member and the Ft. Thompson Frm are younger (from 0.6-0.01 Ma).,"Correlated with the Princess Anne Frm (Lyons 1991) [this Frm is included within the Satilla Frm by Huddlestun (1988) and is correlated in part in this compilation]. Lyons (1991) indicated the Socastee, Pamlico (in part), Norfolk [now Shirley, Tabb or Acredale Frms], Sandbridge, Princess Anne, Silver Bluff, and Anastasia Frms have been cited within Blackwelder interval zone M1, which Lyons (1991) does not agree with. Lyons (1991) argued only the Princess Anne Frm and Coffee Mill Hammock Member of the Ft. Thompson Frm are in interval M1.",
Florida,Fort Thompson,Undifferentiated,0.12,0.6,Wehmiller and Belknap (1978); Karrow et al (1996); Missimer (2001a); Hickey et al (2010); Missimer and Wise (2012),"The Ft. Thompson Frm has also been said to include an Okaloacoochee Member, but the Florida Geological Survey is skeptical about using the Ft. Thompson as a lithological unit in general, and thus this member is not presented here. ","Hickey et al (2010) indicated that reliable dates for the Ft. Thompson Frm are difficult to obtain, but placed the interval around 0.6-0.4 Ma; Brooks (1974) cited an age of 0.22+ Ma; others cited slightly older ages: 0.95-0.55 Ma (Webb et al 1989) and 0.9-0.1 Ma (Kolbe et al 2011). Petuch and Roberts (2007) cited a younger top age for the Frm (0.01 Ma).","Ward and Blackwelder (1987) considered the Ft. Thompson Frm (including the Coffee Mill Hammock) as correlative with the Socastee Frm, but Lyons (1991) disagreed; however, in this report, the Ft. Thompson does correlate in part with the Socastee Frm. The Ft. Thompson, Anastasia and Key Largo Frms are equivalent (DuBar 1991). The Ft. Thompson Frm grades into the Anastasia Frm in the E and the Miami Limestone to the SW (Kittle and Portell 2010).",
Florida,Bermont,,1.1,1.6,Hulbert and Morgan (1989); Webb et al (1989); Campbell and Campbell (1995); Knorr and Harries (2007); Kolbe et al (2011),The unit is only found in southern Florida. ,"Younger ages have been cited previously for the Bermont Frm, including: 1-0.5 Ma (DuBar 1974; Willard et al 1993; Blackwelder 1981a); and 0.5-0.4 Ma (Mitterer 1974, 1975); however, these younger ages may be suspect for a number of reasons, see Lyons (1991). Petuch and Roberts (2007) also indicated a younger top age for Frm (of 0.6 Ma).",Partially correlated with the James City and Waccamaw Frms (NC and SC) (Ward et al 1991).,"DuBar (1991) indicated that the unit correlates with the Canepatch Frm (SC), but this is not supported in this compilation, with the Canepatch Frm younger than the Bermont Frm here."
Florida,Caloosahatchee,,1.7,2.1,"Cunningham et al (2001); Missimer (2001a,b); Kolbe et al (2011); Missimer and Wise (2012)","A ""lower"" and ""upper"" Caloosahatchee have been referred to in publications, but the Frm in places (e.g., the Sarasota mine) can have 2 to 3 discontinuities/unconformities.","Missimer (2001b) cited an age of 2.1 or 1.77 Ma to 0.6 Ma, but the latter age does not accord with other dates for the Caloosahatchee Frm or with other formations in the sequence. Furthermore, a more up-to-date GSA abstract (Missimer and Wise 2012) indicated the Frm straddles the Gelasian-Calabrian boundary. Older ages cited for the Frm include: 2.35-1.71 and 2.5-2 Ma in the same publication (Missimer 1993); 2.4-2 Ma (Willard et al 1993); 2.5-1.8 Ma, but there was no provenance data for the sample (Bender 1972, 1973; Lyons 1991); 2.55-2.35 Ma for the lower Caloosahatchee and 1.9-1.7 Ma for the upper Caloosahatchee (Campbell and Campbell 1995).","Correlated with the Waccamaw and Nashua Frms (DuBar 1991) [only partially correlated with the Nashua Frm in this compilation: here, the Nashua Frm is primarily older]; correlated with the James City and Waccamaw Frms (Blackwelder 1981a; Allmon et al 1996a).","DuBar (1991) indicated the Frm is correlated with the Nashua Frm, but the Nashua Frm is primarily older in this report; Lyons (1991) indicated the Frm is correlated with the Chowan River Frm (NC and VA), but the unit is younger here; Missimer (1993) indicated the lower Caloosahatchee is correlated with the lower Anastasia, which is not supported in this compilation; the Anastasia Frm is younger here. "
Florida,Nashua,,1.9,3,Huddlestun (1988); Markewich et al (1992); Scott (1992),"Cooke and Mossom (1929) abandoned the Nashua Frm name and used the Caloosahatchee instead, but Huddlestun (1988) reintroduced the Nashua Frm of Matson and Clapp (1909); the Frm disconformably overlies the Coosawhatchie Frm. In the coastal area, the Frm may be overlain by the Satilla Frm (Huddlestun 1988). Kolbe et al (2011) included the Tamiami Frm as a unit below the Cypresshead/Nashua Frms in NE Florida, but the unit is not included in this region by Scott (2011) and Fountain (2010). Portell (pers comm 2013) indicated the Nashua Frm is well established in St. Lucie and Okeechobee Counties. ","Noted to be within Berggren zone PL5 (~3-2.3 Ma, based on updated zonation's from Wade et al 2011) and a Cypresshead equivalent (Huddlestun 1988; Markewich et al 1992); Kolbe et al (2011) cited a younger age (2.4-1.7 Ma), as does Petuch and Roberts (2007) (~2.5-1.6 Ma). Cited age differs from Scott (2011) (5.3-1.8 Ma), but Scott's (2011) age has been revised in the most up-to-date stratigraphic column by the Florida Geological Survey (Means pers comm 2013).",The Cypresshead (and thus Citronelle) and Bear Bluff (SC) Frms are equivalents (Huddlestun 1988; Markewich et al 1992; Means pers comm 2013).,"DuBar (1991) indicated the unit is correlative with the Waccamaw Frm, but the Waccamaw Frm is younger in this compilation."
Florida,Long Key,,2,5.6,Warzeski et al (1996); Guertin (1998); Guertin et al (1999); Guertin et al (2000),The Long Key Frm has three depositional intervals (Guertin et al 2000). Original EES notes indicate that this compilation is for the East section of Long Key.,,"Correlated with the Ochopee Limestone and with the Stock Island Frm (Cunningham et al 1998; Cunningham et al 2001); the Long Key Frm has three intervals, which correlate with the Peace River Frm, the Tamiami Frm, and the Pinecrest Member of the Tamiami Frm (Guertin et al 2000).",
Florida,Stock Island,,2,4.5,Cunningham et al (1998); Guertin (1998),Fine-grained limestone underlying the lower and part of the middle of the Florida Keys (Guertin et al 2000).,,Correlated with a portion of the Long Key Frm and with the Ochopee Limestone (Cunningham et al 1998; Cunningham et al 2001).,
Florida,Tamiami,Undifferentiated,2.1,4.3,Missimer (1984); Meeder (1987); Missimer (1990); Scott (1992); Missimer (1993); Missimer (1997); Missimer (1999); Guertin et al (2000); Missimer (2001b); Cunningham et al (2003); Knowles et al (2009); Williams et al (2009); Kolbe et al (2011),"According to Missimer (1990, 1993), the definition of the Hawthorn is used to establish the base of the Tamiami Frm. He suggested that the Tamiami Frm may underlie the Caloosahatchee or the Ft. Thompson Frms. Missimer (1993) defined 9 or more members of the Tamiami Frm; however, correlation among them is problematic. These 9 units can be mapped on the basis of dominant lithology in southwest FL, including: the Pinecrest Sand Member, the unnamed limestone facies, the Golden Gate Reef Member (of Meeder 1987), the Bonita Springs Marl Member (of Missimer 1984), the HYOTISSA facies, the Ochopee Limestone Member, the sand facies, the Buckingham Limestone Member, and the tan clay and sand facies. Only 1 to 4 of these occur in a vertical stratigraphic section at any given locality. In contrast to Missimer (1990, 1993), Hunter (1968) indicated the Pinecrest Sand, Ochopee Limestone and Buckingham Limestone were lateral equivalents. Missimer (1990), on the other hand, indicated the Buckingham Limestone is the lowermost facies and is probably equivalent in age to the clay and sand facies. The Tamiami Frm additionally has been broken into at least three other members (Fruitville, Golden Gate Reef, and Bonita Springs Marl, cited youngest to oldest) by Meeder (1987) and Petuch and Roberts (2007), but these remain controversial. Meeder (1987) did not formally define the Golden Gate Reef Member in terms of the stratigraphy and relationships with other major lithological units, and Missimer (1984) only informally suggested the Bonita Springs Marl Member. Much controversy and confusion surrounds the surface and near-surface deposits of southern Florida, especially the Tamiami Frm. This is for a variety of reasons, see Jones et al (1991) and Scott (1992) for details. Based on the sequence stratigraphic framework of Zullo and Harris (1992) at the APAC and SMR Pits, the authors concluded that Petuch's Units 0-1 belong to the Caloosahatchee Frm and Units 2-11 were within the Tamiami Frm. Units 2-9 were divided into the upper Tamiami Frm, and Units 10-11 were within the lower Tamiami Frm. Further subdivision placed Units 2-3 into the upper Pinecrest Beds and Units 4-9 into the lower Pinecrest Beds. Petuch and Drolshagen (2011), however, now consider Units 2-4 to belong to the Fruitville Member (Tamiami Frm), Units 5-9 to belong to the Pinecrest Member (Tamiami Frm), Unit 10 to belong to the Buckingham Member (Tamiami Frm) and Unit 11 to be the Sarasota Member (Murdock Station Frm).","Missimer (1993) cited the Frm as 4.2-2.8 Ma, while Campbell and Campbell (1995) indicated the Tamiami Limestone is 4-3.8 Ma; Petuch and Roberts (2007) placed the Tamiami Frm older than 2.1 Ma; Williams et al (2000) and Knowles et al (2009) also cited the Tamiami Formation as older, from 5.3-4.3 Ma; Kolbe et al (2011) indicated an age of 4.3-2.5 Ma in parts of both NE and S Florida; Scott (2011) placed an older bottom age for the Tamiami at 5.3 Ma.","The lower Tamiami and lower Pinecrest Beds are correlated with the Jackson Bluff Frm (Zullo and Harris 1992; Zullo and Portell 1993) [note that the lower Tamiami Frm, depending on the definition, does not correlate with the Jackson Bluff Frm in this compilation].",
